Sample description: DMPC_25_100
Sample: DMPC_25_100  c= 1 mg/ml  Code: DMPC_25_100_water
Parent(s): analysis/processed/subtracted/DMPC_25_100_water_0363_sub.dat
  3.792200e-01   3.426224e+00   1.701701e+00
  3.819790e-01   2.671642e+00   1.649497e+00
  3.847380e-01   2.646945e+00   1.679182e+00
  3.874970e-01   6.298685e+00   1.689194e+00
  3.902570e-01   1.902565e+00   1.641152e+00
  3.930160e-01   3.378037e-01   1.689018e+00
  3.957750e-01   1.811760e+00   1.635033e+00
  3.985350e-01   3.012421e+00   1.692044e+00
  4.012940e-01   1.887143e+00   1.649210e+00
  4.040530e-01   1.040606e+00   1.641554e+00
  4.068120e-01   1.840864e+00   1.654111e+00
  4.095720e-01   3.804554e+00   1.631174e+00
  4.123310e-01   4.838663e+00   1.664245e+00
  4.150900e-01   8.657473e-01   1.617509e+00
  4.178490e-01   2.766867e+00   1.632754e+00
  4.206090e-01   2.663545e+00   1.652123e+00
  4.233680e-01   1.760444e+00   1.626028e+00
  4.261270e-01   5.467331e-01   1.650126e+00
  4.288870e-01   2.843400e+00   1.604188e+00
  4.316460e-01   2.057385e+00   1.638946e+00
  4.344050e-01   1.934236e+00   1.614883e+00
  4.371640e-01   3.895288e+00   1.608618e+00
  4.399240e-01   3.157559e+00   1.622395e+00
  4.426830e-01   2.084720e+00   1.587009e+00
  4.454420e-01   3.545570e+00   1.628583e+00
  4.482010e-01   3.741099e+00   1.611030e+00
  4.509610e-01   3.612028e+00   1.607079e+00
  4.537200e-01   3.214937e+00   1.614441e+00
  4.564790e-01   7.502587e+00   1.610174e+00
  4.592390e-01   4.697089e+00   1.651618e+00
  4.619980e-01   6.361242e+00   1.643647e+00
  4.647570e-01   2.803730e+00   1.663858e+00
  4.675160e-01   3.635448e+00   1.659296e+00
  4.702760e-01   6.277454e+00   1.668744e+00
  4.730350e-01   4.046614e+00   1.685171e+00
  4.757940e-01   8.717771e+00   1.661839e+00
  4.785530e-01   6.239763e+00   1.674934e+00
  4.813130e-01   5.300499e+00   1.657698e+00
  4.840720e-01   4.847517e+00   1.653106e+00
  4.868310e-01   5.648968e+00   1.629344e+00
  4.895910e-01   6.684031e+00   1.639471e+00
  4.923500e-01   5.874764e+00   1.646812e+00
  4.951090e-01   7.748955e+00   1.625289e+00
  4.978680e-01   7.262926e+00   1.644354e+00
  5.006280e-01   8.442762e+00   1.608833e+00
  5.033870e-01   4.924415e+00   1.612852e+00
  5.061460e-01   8.487694e+00   1.615658e+00
  5.089050e-01   9.788785e+00   1.594741e+00
  5.116650e-01   9.730593e+00   1.601788e+00
  5.144240e-01   1.138757e+01   1.593575e+00
  5.171830e-01   6.718537e+00   1.607836e+00
  5.199430e-01   1.021981e+01   1.593374e+00
  5.227020e-01   1.148092e+01   1.580460e+00
  5.254610e-01   1.018266e+01   1.592399e+00
  5.282200e-01   1.189138e+01   1.598753e+00
  5.309800e-01   9.112125e+00   1.610333e+00
  5.337390e-01   1.071271e+01   1.586386e+00
  5.364980e-01   9.768228e+00   1.576580e+00
  5.392570e-01   1.106542e+01   1.620495e+00
